Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Andersson,Elias Andersson,270561,United Nordic,United Nordic,https://cdn5.wyscout.com/photos/team/public/g-17413_120x120.png,Superettan,"LCMF, DMF",LCMF,80,DMF,11,,0,30.0,1996-01-31,550000,,14,1404,0,0.46,3,2.43,8.46,47.73,Sweden,['Sweden'],left,178,75,False,4.42,3.5300000000000002,50.91,0.8300000000000001,46.15,0.0,0.0,0.26,2.63,3.48,0.64,1,0.06,0,0.0,1.47,0.0,0,0.0,0.03,0,0.0,13,0.8300000000000001,7.69,0.0,0.19,2.18,50.0,1.4100000000000001,50.0,0.77,50.0,0.38,0.51,50.0,3.46,42.59,0.96,0.96,0.13,40.83,0.38,0.9,57.69,84.78,22.37,75.36,6.22,97.94,47.37,89.99,8.27,64.34,19.77,39.46,0.16,1.28,0.0,0.0,0.06,100.0,0.51,11.47,74.3,3.85,56.67,0.13,50.0,1.22,1.09,11.15,81.61,91.15,19.55,0,,0,,0,0.0,0.0,0.0,,,0.71,,0.8300000000000001,1.4100000000000001,0.19,0.0,2.37,0,0
J. Ojrzyński,Jakub Ojrzyński,509805,Örebro,Örebro,https://cdn5.wyscout.com/photos/team/public/651_120x120.png,Superettan,GK,GK,100,,0,,0,23.0,2003-02-19,200000,2026-12-31,14,1400,0,0.0,0,0.0,0.84,84.62,Poland,['Poland'],right,196,84,False,0.51,0.13,50.0,0.39,83.33,0.0,0.0,0.0,0.45,0.56,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,8.94,0.06,0.64,19.16,86.58,8.23,70.31,0.06,0.0,14.01,99.54,5.14,51.25,28.77,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,46.67,0.06,0.0,0.0,0.0,0.0,0.0,3.99,66.13,100.0,9.9,20,1.29,74,4.76,4,72.97,20.33,1.31,0.33,0.021,0.0,1.4100000000000001,0.39,,,,0.0,0,0
L. Eriksson,Lukas Eriksson,-300433,Ljungskile,Ljungskile,https://cdn5.wyscout.com/photos/team/public/649_120x120.png,Superettan,GK,GK,100,,0,,0,22.0,2003-09-09,0,2027-12-31,14,1397,0,0.0,1,0.0,0.39,66.67,Sweden,['Sweden'],unknown,0,0,False,0.39,0.13,100.0,0.13,0.0,0.0,0.0,0.0,0.26,0.38,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.13,100.0,0.0,0.0,0.0,17.2,0.26,0.06,29.06,77.83,19.39,68.44,0.0,0.0,15.4,97.91,13.59,55.45,39.7,55.97,0.0,0.0,0.0,0.06,0.0,0.0,0.0,6.12,52.63,0.77,25.0,0.13,0.0,0.26,0.0,9.99,79.35,96.6,9.47,18,1.16,59,3.8,2,69.49,18.39,1.18,0.39,0.025,0.0,1.29,0.13,,,,0.0,0,0
J. Brattberg,Johan Brattberg,286629,Helsingborg,Helsingborg,https://cdn5.wyscout.com/photos/team/public/643_120x120.png,Superettan,GK,GK,100,,0,,0,29.0,1996-12-28,250000,2027-12-31,14,1394,0,0.08,0,0.0,0.65,80.0,Sweden,['Sweden'],right,198,93,False,1.1,0.06,100.0,0.26,100.0,0.0,0.0,0.0,1.03,1.49,0.0,1,0.06,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,1,0.06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,66.67,0.26,50.0,0.06,0.0,0.0,14.07,0.0,0.19,27.7,83.45,13.43,71.15,0.0,0.0,20.08,98.39,7.62,44.07,29.44,51.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,34.29,0.45,0.0,0.0,0.0,0.0,0.0,5.68,60.23,94.51,11.75,29,1.87,85,5.49,2,65.88,27.02,1.74,-1.98,-0.128,0.0,2.0,0.26,,,,0.0,0,0
E. Tellgren,Edvin  Tellgren,-187033,Varbergs,Varbergs,https://cdn5.wyscout.com/photos/team/public/g7809_120x120.png,Superettan,RCB,RCB,92,,0,,0,21.0,2005-01-19,250000,2026-11-30,14,1392,1,1.44,1,0.15,14.29,57.92,Sweden,['Sweden'],right,180,74,False,7.82,4.2,52.31,4.4,63.24,0.19,0.26,0.97,5.43,7.18,0.52,2,0.13,0,0.0,0.65,0.06,1,0.06,0.09,1,0.06,13,0.84,23.08,7.692,0.06,0.13,100.0,0.0,0.0,0.13,100.0,0.0,0.39,83.33,3.3,52.94,1.1,0.19,0.0,21.01,0.26,1.1,31.42,81.89,13.77,66.2,2.7199999999999998,90.48,24.83,89.84,6.53,51.49,22.96,43.99,0.01,0.26,0.0,0.06,0.0,0.0,0.06,4.59,59.15,0.78,33.33,0.0,0.0,0.32,0.06,6.66,64.08,94.65,12.09,0,,0,,0,0.0,0.0,0.0,,,1.81,,4.4,0.0,0.0,0.0,0.0,0,0
O. Ekman,Oscar Ekman,447040,Varbergs,Varbergs,https://cdn5.wyscout.com/photos/team/public/g7809_120x120.png,Superettan,GK,GK,100,,0,,0,27.0,1998-12-17,175000,2026-12-31,14,1392,0,0.0,0,0.0,0.32,80.0,Sweden,['Sweden'],right,0,0,False,0.19,0.19,66.67,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,12.67,0.39,0.13,22.24,75.58,13.77,64.79,0.0,0.0,11.12,96.51,11.12,54.65,38.77,52.24,0.0,0.0,0.06,0.06,0.0,0.0,0.0,3.43,37.74,0.65,10.0,0.0,0.0,0.06,0.0,9.05,67.86,94.12,7.69,17,1.1,49,3.17,4,65.31,17.33,1.12,0.33,0.021,0.0,1.23,0.0,,,,0.0,0,0
T. Karlsson,Tobias Karlsson,452329,Landskrona,Landskrona,https://cdn5.wyscout.com/photos/team/public/1632_120x120.png,Superettan,"LCB, RCB",LCB,71,RCB,10,,0,28.0,1998-06-23,225000,,14,1389,0,1.13,0,0.0,10.89,69.05,Sweden,['Sweden'],right,184,83,False,8.03,3.5,59.26,5.57,72.09,0.06,0.09,0.84,5.9,8.35,0.91,1,0.06,0,0.0,0.26,0.0,0,0.0,0.07,0,0.0,6,0.39,16.67,0.0,0.0,0.06,100.0,0.06,100.0,0.0,0.0,0.0,0.13,100.0,0.97,73.33,0.45,1.1,0.13,44.64,0.26,0.65,60.78,91.79,18.66,79.86,3.43,98.11,57.02,94.89,3.69,43.86,18.99,41.76,0.0,0.06,0.06,0.06,0.0,0.0,0.0,6.74,74.04,0.39,33.33,0.0,0.0,0.06,0.06,5.96,63.04,97.47,30.71,0,,0,,0,0.0,0.0,0.0,,,2.07,,5.57,0.0,0.0,0.0,0.0,0,0
C. Redenstrand,Christopher Redenstrand,-44136,Örebro,Örebro,https://cdn5.wyscout.com/photos/team/public/651_120x120.png,Superettan,LB,LB,98,,0,,0,27.0,1998-10-05,300000,2027-12-31,14,1387,0,1.32,2,3.52,12.78,53.3,Sweden,['Sweden'],left,174,61,False,7.53,5.32,54.88,2.5300000000000002,53.85,0.06,0.08,0.39,4.54,5.61,0.45,0,0.0,0,0.0,1.82,0.0,0,0.0,0.09,0,0.0,14,0.91,28.57,0.0,0.13,1.62,32.0,1.56,33.33,0.06,0.0,0.26,1.69,61.54,4.28,48.48,0.78,1.56,0.13,26.15,1.69,1.3,33.94,78.39,12.65,66.15,8.44,96.92,28.55,85.23,4.02,45.16,17.42,42.28,0.23,1.88,0.13,0.0,0.06,0.0,0.19,3.63,50.0,2.08,43.75,0.06,0.0,0.45,0.45,6.29,71.13,77.98,7.07,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.5300000000000002,1.82,0.06,0.0,3.89,0,0
L. Forsberg,Lucas Forsberg,-175347,GIF Sundsvall,GIF Sundsvall,https://cdn5.wyscout.com/photos/team/public/653_120x120.png,Superettan,"CB, RCB3",CB,53,RCB3,19,,0,23.0,2003-05-21,200000,2027-12-31,14,1378,0,0.87,0,0.19,11.1,55.88,Sweden,['Sweden'],right,176,66,False,9.08,3.5300000000000002,55.56,4.31,54.55,0.2,0.22,0.59,6.92,7.78,0.39,1,0.07,0,0.0,0.46,0.0,0,0.0,0.06,0,0.0,7,0.46,14.29,0.0,0.0,0.52,50.0,0.0,0.0,0.52,50.0,0.0,0.07,100.0,1.63,44.0,0.91,0.52,0.07,26.71,0.65,1.11,36.84,84.4,13.26,65.52,2.81,97.67,31.02,92.63,5.55,40.0,22.11,39.69,0.01,0.07,0.0,0.0,0.07,100.0,0.07,5.22,60.0,1.18,50.0,0.13,50.0,0.46,0.26,6.14,69.15,95.52,17.5,0,,0,,0,0.0,0.0,0.0,,,1.18,,4.31,0.0,0.0,0.0,0.0,0,0
J. Olsson,Jonas Olsson,334107,GIF Sundsvall,GIF Sundsvall,https://cdn5.wyscout.com/photos/team/public/653_120x120.png,Superettan,GK,GK,100,,0,,0,31.0,1994-09-14,225000,2028-12-31,14,1378,0,0.0,0,0.0,0.39,100.0,Sweden,['Sweden'],right,187,84,False,0.39,0.07,100.0,0.13,100.0,0.0,0.0,0.0,0.33,0.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.2,13.19,0.59,0.26,23.45,78.83,13.78,67.77,0.2,100.0,14.17,97.7,9.21,50.35,34.96,53.35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.4,38.46,0.39,16.67,0.0,0.0,0.13,0.0,7.05,66.67,94.4,8.16,31,2.02,78,5.09,1,60.26,23.33,1.52,-7.67,-0.501,0.0,2.22,0.13,,,,0.0,0,0
