Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Vigilucci,Valery Vigilucci,273491,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/g-9501_120x120.png,Serie A Women,"LCB, RB, RCB",LCB,39,RB,23,RCB,11,29.0,1997-04-15,0,,22,2191,2,1.02,0,1.1,12.2,59.93,Italy,['Italy'],,0,0,False,10.27,6.57,68.13,0.9,50.0,0.21,0.24,0.62,5.59,6.53,0.49,2,0.08,0,0.0,1.15,0.08,2,0.08,0.04,1,0.04,14,0.58,50.0,14.286,0.0,0.8200000000000001,50.0,0.25,66.67,0.58,42.86,0.25,0.8200000000000001,55.0,2.92,50.7,0.8200000000000001,0.9400000000000001,0.21,15.81,0.62,0.74,28.43,72.4,13.88,59.47,2.42,94.92,21.24,82.59,6.45,41.4,21.68,34.3,0.05,0.29,0.0,0.0,0.0,0.0,0.12,5.01,54.1,1.11,37.04,0.16,25.0,0.33,0.37,7.35,54.75,87.05,9.2,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,0.9,0.08,0.04,100.0,0.0,0,0.0
K. Missipo,Kassandra Ndoutou Eboa Missipo,381569,Sassuolo,Sassuolo,https://cdn5.wyscout.com/photos/team/public/g4497_120x120.png,Serie A Women,"RCMF3, AMF, LCMF",RCMF3,37,AMF,12,LCMF,10,28.0,1998-02-03,0,,22,2183,2,1.98,1,1.17,18.18,41.5,Belgium,['Belgium'],,0,0,False,5.94,5.32,65.12,2.84,34.78,0.04,0.05,0.16,2.43,3.04,0.8200000000000001,0,0.0,0,0.0,1.28,0.08,2,0.08,0.08,0,0.0,14,0.58,42.86,14.286,0.04,1.03,44.0,0.12,33.33,0.87,47.62,0.16,1.28,45.16,7.42,26.11,1.57,0.99,0.08,15.05,0.62,0.9500000000000001,24.45,78.08,8.45,65.85,5.94,93.06,22.3,81.52,1.15,42.86,15.56,21.95,0.05,0.45,0.0,0.0,0.0,0.0,0.21,2.89,61.43,1.2,51.72,0.21,40.0,0.29,0.54,3.92,62.11,85.12,4.99,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.84,0.0,0.0,0.0,0.04,0,0.0
C. Ambrosi,Caterina Ambrosi,424686,Parma,Parma,https://cdn5.wyscout.com/photos/team/public/g-6391_120x120.png,Serie A Women,"CB, RCB",CB,78,RCB,16,,0,26.0,1999-08-01,0,,22,2178,1,0.72,0,0.07,8.64,64.59,Italy,['Italy'],,0,0,False,8.35,3.93,77.89,2.56,56.45,0.58,0.72,0.74,4.71,5.86,0.37,2,0.08,0,0.0,0.08,0.04,1,0.04,0.03,1,0.04,6,0.25,33.33,16.667,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.87,38.1,0.29,0.29,0.04,36.98,0.25,0.37,51.69,89.69,19.26,78.54,2.52,96.72,46.24,93.3,5.37,60.0,19.95,33.26,0.0,0.08,0.0,0.0,0.0,0.0,0.04,2.11,58.82,0.17,25.0,0.08,50.0,0.08,0.0,6.45,48.72,97.99,26.74,0,,0,,0,0.0,0.0,0.0,,,2.19,,2.56,0.04,0.0,0.0,0.0,0,0.0
S. Howard,Sophie Howard,101075,Como,Como,https://cdn5.wyscout.com/photos/team/public/g-15218_120x120.png,Serie A Women,"LCB, RCB, CB",LCB,51,RCB,20,CB,14,32.0,1993-09-17,0,,22,2169,0,0.85,0,0.21,10.25,68.83,Germany,"['Germany', 'Scotland']",right,175,0,False,9.67,5.64,75.0,3.36,67.9,0.21,0.25,0.75,5.23,6.2,0.87,1,0.04,0,0.0,0.17,0.0,0,0.0,0.04,0,0.0,3,0.12,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.41000000000000003,50.0,0.33,0.29,0.0,22.12,0.08,0.12,34.4,85.65,14.44,72.7,2.07,96.0,30.17,91.33,4.23,45.1,20.08,32.51,0.01,0.08,0.0,0.04,0.0,0.0,0.04,2.2800000000000002,40.0,0.17,0.0,0.12,0.0,0.12,0.0,3.94,49.47,97.02,15.31,0,,0,,0,0.0,0.0,0.0,,,1.45,,3.36,0.04,0.0,0.0,0.0,0,0.0
M. Jusjong,Mille Jusjong Henriksen,-274283,Napoli,Napoli,https://cdn5.wyscout.com/photos/team/public/g12660_120x120.png,Serie A Women,RCB,RCB,98,,0,,0,23.0,2003-01-31,0,,22,2169,0,0.29,0,0.0,11.7,60.99,Denmark,['Denmark'],unknown,0,0,False,9.25,5.98,72.22,3.24,56.41,0.04,0.06,1.0,4.9,7.17,1.04,3,0.12,0,0.0,0.12,0.0,0,0.0,0.01,0,0.0,3,0.12,33.33,0.0,0.0,0.17,25.0,0.04,0.0,0.12,33.33,0.04,0.12,33.33,0.9500000000000001,17.39,0.17,0.62,0.0,24.65,0.37,0.12,37.72,83.83,15.98,71.69,3.11,92.0,33.69,89.04,3.86,40.86,18.8,31.52,0.0,0.0,0.0,0.04,0.0,0.0,0.0,3.5300000000000002,56.47,0.41000000000000003,50.0,0.25,33.33,0.17,0.04,6.18,53.69,94.72,14.94,0,,0,,0,0.0,0.0,0.0,,,2.7,,3.24,0.0,0.0,0.0,0.0,0,0.0
C. Fløe,Cecilie Fløe Nielsen,-134600,Napoli,Napoli,https://cdn5.wyscout.com/photos/team/public/g12660_120x120.png,Serie A Women,CF,CF,100,,0,,0,24.0,2001-10-08,0,,22,2122,11,13.22,3,2.99,28.42,33.58,Denmark,['Denmark'],,0,0,False,3.86,3.65,52.33,5.3,42.4,0.04,0.06,0.13,1.9100000000000001,2.79,1.3599999999999999,2,0.08,0,0.0,4.07,0.47000000000000003,11,0.47000000000000003,0.56,0,0.0,75,3.18,48.0,14.667,0.13,1.6099999999999999,13.16,0.68,12.5,0.89,14.29,0.21,4.54,50.47,16.07,26.65,6.66,3.01,0.55,16.92,3.65,1.23,24.51,66.61,6.4,45.7,6.32,88.59,22.44,70.89,0.55,38.46,15.28,13.54,0.13,1.31,0.04,0.04,0.21,20.0,0.59,2.21,53.85,2.46,44.83,0.25,16.67,1.74,0.17,1.82,65.12,65.67,5.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.3,0.0,0.0,0.0,0.0,0,0.0
C. Forcinella,Camilla Forcinella,464189,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/g-9501_120x120.png,Serie A Women,GK,GK,100,,0,,0,24.0,2001-06-22,0,,21,2098,0,0.0,0,0.0,0.77,61.11,Italy,['Italy'],,0,0,False,1.29,0.13,66.67,0.51,50.0,0.0,0.0,0.0,1.2,1.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,0.0,0.0,11.67,0.04,0.0,21.62,80.36,11.11,66.02,0.04,100.0,13.0,97.03,8.62,55.22,29.92,41.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,31.82,0.04,100.0,0.0,0.0,0.04,0.0,6.61,61.69,94.76,9.01,41,1.76,111,4.76,3,63.06,37.12,1.5899999999999999,-3.88,-0.166,0.04,1.8900000000000001,0.51,,,,0.0,0,0.0
A. Acuti,Arianna Acuti,229140,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/g-9501_120x120.png,Serie A Women,"RB, LB",RB,39,LB,17,,0,29.0,1996-10-20,0,,22,2090,1,1.4100000000000001,1,1.88,15.2,50.14,Italy,['Italy'],,0,0,False,9.3,8.14,58.2,1.08,40.0,0.17,0.2,0.09,4.39,5.07,0.86,4,0.17,0,0.0,1.12,0.04,1,0.04,0.06,1,0.04,12,0.52,25.0,8.333,0.04,1.21,32.14,0.30000000000000004,14.29,0.9,38.1,0.39,1.12,50.0,5.0,39.66,1.03,1.42,0.56,16.67,1.38,1.25,26.31,64.81,13.0,53.64,4.35,92.08,20.28,72.82,4.82,39.29,17.84,30.9,0.08,0.65,0.04,0.0,0.09,50.0,0.43,3.92,48.35,2.15,44.0,0.73,23.53,0.65,0.56,7.41,55.23,69.75,5.12,0,,0,,0,0.0,0.0,0.0,,,0.73,,1.08,0.0,0.0,0.0,0.0,0,0.0
C. Fiskerstrand,Cecilie Fiskerstrand,264266,Fiorentina,Fiorentina,https://cdn5.wyscout.com/photos/team/public/g7125_120x120.png,Serie A Women,GK,GK,100,,0,,0,30.0,1996-03-20,0,,21,2085,0,0.0,0,0.0,0.47000000000000003,100.0,Norway,['Norway'],,174,0,False,1.34,0.0,0.0,0.22,100.0,0.0,0.0,0.0,1.34,2.12,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,12.52,0.13,0.22,21.37,90.91,10.06,82.83,0.0,0.0,17.83,96.85,3.54,60.98,22.94,35.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,14.29,0.0,0.0,0.04,0.0,0.0,0.0,3.15,58.9,98.67,9.71,29,1.25,92,3.9699999999999998,5,68.48,26.77,1.16,-2.23,-0.096,0.0,1.04,0.22,,,,0.0,0,0.0
N. Nischler,Nadine Nischler,467701,Como,Como,https://cdn5.wyscout.com/photos/team/public/g-15218_120x120.png,Serie A Women,"AMF, CF, RCMF3",AMF,43,CF,21,RCMF3,12,25.0,2000-11-08,0,,22,2080,10,8.77,3,0.74,18.61,43.26,Italy,['Italy'],,0,0,False,6.32,5.93,63.5,2.77,28.13,0.39,0.46,0.22,2.16,2.5700000000000003,1.34,1,0.04,0,0.0,2.55,0.43,8,0.35000000000000003,0.38,1,0.04,58,2.51,39.66,17.241,0.13,1.08,32.0,0.43,40.0,0.56,23.08,0.13,2.38,47.27,7.75,36.31,2.77,0.87,0.26,16.53,1.47,0.9500000000000001,23.19,72.39,8.65,63.0,4.33,89.0,20.55,76.42,1.6400000000000001,47.37,15.92,22.48,0.03,0.74,0.0,0.04,0.22,40.0,0.35000000000000003,3.55,57.32,1.38,37.5,0.43,30.0,0.52,0.30000000000000004,3.76,67.82,73.83,6.45,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.77,0.26,0.17,50.0,0.0,4,50.0
